Order_ID,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Pickup_Time,Weather,Traffic,Vehicle,Delivery_Time
zotl583816092,0,0,0.11,0.11,21:45:00,Stormy,Jam ,scooter ,35
agoo012263585,18.563934,73.915367,18.693935,74.045367,22:45:00,Cloudy,Low ,scooter ,150
ezif478391605,18.55144,73.804855,18.62144,73.874855,19:10:00,Sunny,Medium ,motorcycle ,110
tixw400453550,18.593481,73.785901,18.633481,73.825901,14:25:00,Windy,High ,scooter ,50
mrfx777445506,21.173343,72.792731,21.183343,72.802731,11:10:00,Sandstorms,Low ,scooter ,95
czjt755903822,17.451976,78.385883,17.471976,78.405883,9:55:00,Sunny,Low ,scooter ,55
zqtj827550147,12.972532,77.608179,12.992532,77.628179,8:55:00,Stormy,Low ,scooter ,55
luka250567007,12.972532,77.608179,13.042532,77.678179,23:10:00,Fog,Low ,motorcycle ,140
zkat983341391,13.064181,80.236442,13.134181,80.306442,17:30:00,Cloudy,Medium ,motorcycle ,33
ydhu273019158,21.149569,72.772697,21.239569,72.862697,19:50:00,Sandstorms,Jam ,motorcycle ,260
rpuq263118672,19.091458,72.827808,19.201458,72.937808,19:25:00,Stormy,Jam ,scooter ,110
nvck471535045,22.539129,88.365507,22.559129,88.385507,11:00:00,Fog,Low ,scooter ,16
rxgx102974679,19.221315,72.862381,19.281315,72.922381,21:45:00,Sunny,Jam ,van,55
ikas794013321,12.970324,77.645748,13.030324,77.705748,19:15:00,Windy,Medium ,scooter ,125
dsyl658069912,13.064181,80.236442,13.104181,80.276442,16:55:00,Cloudy,Medium ,motorcycle ,130
wzoc344425774,21.175975,72.795503,21.185975,72.805503,11:40:00,Sunny,High ,scooter ,90
dwnh519656346,23.369746,85.33982,23.409746,85.37982,15:15:00,Fog,Medium ,motorcycle ,80
yakw330215137,12.914264,77.6784,13.024264,77.7884,22:55:00,Stormy,Low ,scooter ,115
dcdm719150402,0,0,0.03,0.03,22:25:00,Cloudy,Low ,motorcycle ,75
fris321432357,11.003681,76.975525,11.083681,77.055525,20:55:00,Sandstorms,Jam ,motorcycle ,180
mxuw713526914,21.173343,72.792731,21.233343,72.852731,23:05:00,Cloudy,Low ,motorcycle ,80
carl449634661,10.96185,76.971082,11.05185,77.061082,18:00:00,Sunny,Medium ,motorcycle ,95
msnw786727644,27.165108,78.015053,27.255108,78.105053,23:00:00,Sunny,Low ,motorcycle ,135
bbow373480117,0,0,0.08,0.08,20:50:00,Fog,Jam ,scooter ,245
vizd072469706,26.88842,75.800689,26.89842,75.810689,9:40:00,Windy,Low ,scooter ,100
etss702593505,0,0,0.06,0.06,20:20:00,Cloudy,Jam ,motorcycle ,150
rxxx129114996,26.913987,75.752891,26.993987,75.832891,22:35:00,Sandstorms,Low ,scooter ,90
bull762076829,12.3085,76.665808,12.3385,76.695808,22:00:00,Sunny,Jam ,scooter ,110
fpkv432118410,21.183434,72.814492,21.253434,72.884492,22:55:00,Cloudy,Low ,scooter ,170
udpq945815554,19.254567,72.848923,19.364567,72.958923,23:55:00,Sandstorms,Low ,motorcycle ,120
qeqp930384577,18.55144,73.804855,18.59144,73.844855,15:40:00,Fog,Medium ,scooter ,85
cwvq091479872,25.449659,81.839744,25.469659,81.859744,10:30:00,Sandstorms,Low ,van,70
ivtf765857546,30.372202,78.077151,30.422202,78.127151,21:00:00,Stormy,Jam ,motorcycle ,150
emlt327861941,0,0,0.02,0.02,10:50:00,Stormy,Low ,scooter ,15
rufz727804632,0,0,0.04,0.04,16:05:00,Fog,Medium ,scooter ,80
gkrb550339468,12.972793,80.249982,13.062793,80.339982,20:15:00,Cloudy,Jam ,scooter ,180
tsec016509855,21.157735,72.768778,21.197735,72.808778,12:15:00,Sunny,High ,scooter ,90
xczs106918282,21.186438,72.794115,21.226438,72.834115,15:45:00,Fog,Medium ,scooter ,85
lgee738117860,0,0,0.08,0.08,22:15:00,Sandstorms,Low ,motorcycle ,75
nxfs257449148,0,0,0.02,0.02,10:45:00,Fog,Low ,motorcycle ,85
wycd588946822,17.431477,78.40035,17.491477,78.46035,0:05:00,Fog,Low ,motorcycle ,50
bhdi726355812,0,0,0.05,0.05,21:25:00,Fog,Jam ,motorcycle ,135
wnbv620439671,13.064181,80.236442,13.154181,80.326442,20:40:00,Sandstorms,Jam ,motorcycle ,185
jvco758418006,12.933298,77.614293,13.023298,77.704293,21:00:00,Fog,Jam ,scooter ,220
zkks967394571,22.311358,73.164798,22.351358,73.204798,12:45:00,Windy,High ,van,140
oiyh656906407,12.934365,77.616155,13.044365,77.726155,21:15:00,Cloudy,Jam ,scooter ,210
dfit633531471,0,0,0.11,0.11,23:55:00,Windy,Low ,motorcycle ,125
qhxw976953297,13.086438,80.220672,13.196438,80.330672,18:20:00,Cloudy,Medium ,scooter ,195
mryb985330207,19.254567,72.848923,19.364567,72.958923,18:25:00,Stormy,Medium ,motorcycle ,100
jzam829230168,26.913483,75.803139,26.933483,75.823139,11:50:00,Stormy,High ,motorcycle ,155
xnod694467359,17.411028,78.329645,17.471028,78.389645,20:55:00,Stormy,Jam ,motorcycle ,65
hcno407153953,18.516216,73.842527,18.566216,73.892527,22:10:00,Stormy,Jam ,motorcycle ,140
gyjc869072111,15.5696,73.742294,15.6096,73.782294,12:50:00,Windy,High ,scooter ,95
wkqq813752515,19.876428,75.364792,19.956428,75.444792,23:45:00,Fog,Low ,motorcycle ,210
vdfj488526028,12.939496,77.625999,12.949496,77.635999,10:55:00,Fog,Low ,motorcycle ,115
pngq326709686,17.433809,78.386744,17.543809,78.496744,21:40:00,Stormy,Jam ,motorcycle ,195
caja224507886,23.374878,85.335739,23.384878,85.345739,10:20:00,Stormy,Low ,motorcycle ,125
hnme204254454,-27.163303,78.057044,27.233303,78.127044,23:05:00,Sandstorms,Low ,scooter ,75
uehx759760979,22.74806,75.8934,22.76806,75.9134,8:55:00,Cloudy,Low ,scooter ,75
sdod930462581,26.891191,75.802083,26.981191,75.892083,17:55:00,Sunny,Medium ,van,75
visy471360404,21.160437,72.774209,21.270437,72.884209,20:40:00,Stormy,Jam ,motorcycle ,75
wddq796276216,12.316967,76.603067,12.366967,76.653067,22:25:00,Sunny,Low ,motorcycle ,90
pqya338067587,18.927584,72.832585,19.017584,72.922585,23:50:00,Sandstorms,Low ,van,145
last796029882,11.022298,76.998349,11.072298,77.048349,23:30:00,Fog,Low ,motorcycle ,100
mzyt873581742,12.325461,76.632278,12.365461,76.672278,12:55:00,Cloudy,High ,scooter ,195
kbhb286226770,18.530963,73.828972,18.640963,73.938972,23:45:00,Windy,Low ,motorcycle ,95
okvp821614347,17.458998,78.500366,17.488998,78.530366,0:10:00,Cloudy,Low ,scooter ,19
oska955853002,19.1813,72.836191,19.3113,72.966191,23:00:00,Windy,Low ,motorcycle ,85
rgwl479077727,11.022477,76.995667,11.032477,77.005667,10:40:00,Stormy,Low ,motorcycle ,75
tmzv371880726,22.727021,75.884167,22.747021,75.904167,9:00:00,Sandstorms,Low ,motorcycle ,95
ofxt601212694,12.979166,77.640709,13.069166,77.730709,21:40:00,Sandstorms,Jam ,motorcycle ,145
lbui872023073,18.994237,72.825553,19.104237,72.935553,22:40:00,Cloudy,Low ,scooter ,110
ixfk439251990,12.284747,76.625861,12.414747,76.755861,20:20:00,Fog,Jam ,scooter ,210
njfz936670348,21.175975,72.795503,21.195975,72.815503,11:10:00,Sandstorms,Low ,scooter ,60
drir663128253,11.000762,76.981876,11.130762,77.111876,20:45:00,Cloudy,Jam ,motorcycle ,190
drdr957134932,21.173343,72.792731,21.283343,72.902731,23:35:00,Sunny,Low ,motorcycle ,115
qrzj427928057,26.479108,80.315042,26.499108,80.335042,10:50:00,Cloudy,Low ,scooter ,75
hkit681446136,21.175104,72.804342,21.255104,72.884342,23:50:00,Sunny,Low ,motorcycle ,120
imnm972342448,19.176269,72.836721,19.286269,72.946721,20:00:00,Windy,Jam ,motorcycle ,185
wnne890905509,12.975377,77.696664,13.025377,77.746664,22:25:00,Sandstorms,Low ,scooter ,120
kbdc711046313,23.359194,85.325447,23.419194,85.385447,23:15:00,Sunny,Low ,van,65
alem833315854,12.297954,76.665169,12.307954,76.675169,9:30:00,Cloudy,Low ,motorcycle ,80
khjm619520065,23.359407,85.325055,23.439407,85.405055,18:35:00,Cloudy,Medium ,motorcycle ,210
oiay843077855,23.416792,85.316842,23.506792,85.406842,22:20:00,Sandstorms,Low ,motorcycle ,85
ohhc448549441,26.892312,75.806896,26.922313,75.836896,21:05:00,Cloudy,Jam ,motorcycle ,125
knul324217390,22.761593,75.886362,22.871593,75.996362,18:50:00,Fog,Medium ,scooter ,195
buux572471968,11.026117,76.944652,11.066117,76.984652,15:05:00,Sunny,High ,scooter ,90
ieue797662723,13.064181,80.236442,13.104181,80.276442,17:00:00,Sandstorms,Medium ,motorcycle ,140
eztk468187811,26.483042,80.317833,26.533042,80.367833,22:35:00,Sandstorms,Low ,scooter ,90
zzid436960558,11.000762,76.981876,11.130762,77.111876,0:15:00,Windy,Low ,scooter ,90
kllk327072475,23.359033,85.325347,23.469033,85.435347,21:20:00,Fog,Jam ,scooter ,245
uurs547552548,22.569358,88.433452,22.599358,88.463452,23:35:00,Sunny,Low ,motorcycle ,75
ubwl989345056,12.914264,77.6784,12.994264,77.7584,23:35:00,Sunny,Low ,motorcycle ,105
iimu721647260,19.121999,72.908493,19.161999,72.948493,14:35:00,Sunny,High ,scooter ,115
tfxz025621580,21.157729,72.768726,21.167729,72.778726,10:25:00,Fog,Low ,scooter ,55
kgjb145446786,22.311603,73.165012,22.371603,73.225012,21:35:00,Cloudy,Jam ,motorcycle ,125
xrxy085440961,18.536562,73.896485,18.556562,73.916485,8:55:00,Fog,Low ,motorcycle ,90
pnzt689957903,22.745536,75.893106,22.765536,75.913106,9:05:00,Cloudy,Low ,motorcycle ,70
qrng205617369,12.933298,77.614293,13.023298,77.704293,18:00:00,Windy,Medium ,motorcycle ,180
gycd207308146,12.939496,77.625999,12.989496,77.675999,23:15:00,Fog,Low ,motorcycle ,90
wqfy256790455,0,0,0.04,0.04,16:50:00,Fog,Medium ,scooter ,85
vgjr167867003,17.426228,78.407495,17.436228,78.417495,8:40:00,Sandstorms,Low ,motorcycle ,140
jqco336937571,12.934365,77.616155,13.024365,77.706155,20:50:00,Fog,Jam ,motorcycle ,220
iwkp065421476,11.003669,76.976494,11.063669,77.036494,23:40:00,Windy,Low ,motorcycle ,100
nwvu459529234,22.311358,73.164798,22.381358,73.234798,20:05:00,Fog,Jam ,motorcycle ,175
jjcl090851660,12.986047,80.218114,13.096047,80.328114,21:30:00,Sandstorms,Jam ,motorcycle ,50
bpbi053158546,17.41233,78.449654,17.47233,78.509654,21:50:00,Stormy,Jam ,scooter ,170
ksec432319879,21.17106,72.789292,21.25106,72.869292,19:55:00,Sunny,Jam ,van,85
rszv454658332,21.186884,72.793616,21.226884,72.833616,15:00:00,Sandstorms,High ,scooter ,115
cdyc438548517,11.026117,76.944652,11.056117,76.974652,18:20:00,Fog,Medium ,motorcycle ,135
xoka811702118,0,0,0.04,0.04,12:30:00,Cloudy,High ,motorcycle ,130
nyum131271823,19.065838,72.832658,19.135838,72.902658,23:50:00,Cloudy,Low ,scooter ,175
iwoy649851528,0,0,0.04,0.04,12:55:00,Windy,High ,motorcycle ,205
lhus187289759,12.98041,77.640489,13.04041,77.700489,23:30:00,Sandstorms,Low ,motorcycle ,115
szbb646301545,11.022477,76.995667,11.132477,77.105667,18:00:00,Stormy,Medium ,motorcycle ,150
bwgn919229310,0,0,0.02,0.02,10:35:00,Windy,Low ,scooter ,95
pdxn136638766,0,0,0.01,0.01,9:25:00,Windy,Low ,scooter ,135
zzsx562940707,12.310972,76.659264,12.350972,76.699264,12:45:00,Cloudy,High ,motorcycle ,140
gyvm380029078,11.025083,77.015393,11.105083,77.095393,17:20:00,Sandstorms,Medium ,motorcycle ,120
umwc109456087,12.316967,76.603067,12.446967,76.733067,19:30:00,Cloudy,Jam ,motorcycle ,180
dsbe906886027,22.538731,88.364878,22.598731,88.424878,23:55:00,Sandstorms,Low ,motorcycle ,140
xnzb532907287,11.001753,76.986241,11.111753,77.096241,18:50:00,Fog,Medium ,motorcycle ,155
ltrp525870768,22.310237,73.158921,22.400237,73.248921,20:45:00,Sunny,Jam ,motorcycle ,220
rbzk606295253,23.359033,85.325347,23.439033,85.405347,22:25:00,Windy,Low ,scooter ,75
ltoi660207512,18.593481,73.785901,18.663481,73.855901,17:25:00,Windy,Medium ,motorcycle ,165
pkhq469939766,21.186438,72.794115,21.236438,72.844115,20:10:00,Fog,Jam ,motorcycle ,150
jgbc287273591,22.725748,75.898497,22.775748,75.948497,18:25:00,Stormy,Medium ,scooter ,110
xzzw562394658,0,0,0.07,0.07,0:00:00,Fog,Low ,motorcycle ,215
gjwc226881646,17.450851,78.379347,17.540851,78.469347,17:35:00,Fog,Medium ,motorcycle ,240
lrbb564302256,13.081878,80.248519,13.171878,80.338519,0:00:00,Stormy,Low ,van,95
fkyd365052251,10.035573,76.336958,10.105573,76.406958,18:35:00,Windy,Medium ,motorcycle ,105
wciq107093545,22.308096,73.167753,22.388096,73.247753,21:45:00,Windy,Jam ,motorcycle ,220
edxx482704762,12.975996,80.221898,12.985996,80.231898,8:55:00,Windy,Low ,scooter ,130
jxsj508533395,12.3085,76.665808,12.3385,76.695808,22:40:00,Windy,Low ,scooter ,26
xlta607070306,19.178321,72.834715,19.188321,72.844715,11:50:00,Windy,High ,motorcycle ,155
lubd358643567,0,0,0.06,0.06,23:40:00,Stormy,Low ,scooter ,19
ycwb227184501,26.910262,75.783013,26.990262,75.863013,19:15:00,Sunny,Jam ,scooter ,90
mikp615052003,25.443994,81.860187,25.513994,81.930187,19:00:00,Fog,Medium ,motorcycle ,190
djrw974238657,23.359194,85.325447,23.449194,85.415447,18:25:00,Cloudy,Medium ,motorcycle ,160
rxki994339301,17.458998,78.500366,17.508998,78.550366,22:35:00,Sandstorms,Low ,scooter ,85
wfjy432968933,18.530963,73.828972,18.590963,73.888972,19:05:00,Fog,Medium ,scooter ,55
opdl820466364,12.321214,76.621094,12.361214,76.661094,13:20:00,Windy,High ,motorcycle ,155
wbpn330130607,12.3085,76.665808,12.3685,76.725808,18:05:00,Windy,Medium ,motorcycle ,125
jtsd466670552,19.055831,72.833984,19.115831,72.893984,20:05:00,Cloudy,Jam ,motorcycle ,110
enww399699472,12.337928,76.617889,12.407928,76.687889,21:20:00,Fog,Jam ,motorcycle ,215
rvns240114667,23.351489,85.324253,23.421489,85.394253,19:45:00,Fog,Jam ,motorcycle ,210
fvko144254933,22.728163,75.884212,22.808163,75.964212,19:20:00,Stormy,Jam ,motorcycle ,210
jocn049365284,13.026286,80.275235,13.056286,80.305235,21:30:00,Fog,Jam ,motorcycle ,170
atgc248887447,26.766536,75.837333,26.786536,75.857333,10:05:00,Sandstorms,Low ,motorcycle ,85
jexa898688264,21.149834,72.778666,21.179834,72.808666,20:40:00,Stormy,Jam ,scooter ,125
cmvs014428179,12.3085,76.665808,12.3985,76.755808,21:25:00,Sandstorms,Jam ,motorcycle ,270
ntme294239634,21.149669,72.772629,21.219669,72.842629,23:15:00,Windy,Low ,motorcycle ,105
tryr235168039,17.411028,78.329645,17.451028,78.369645,15:10:00,Cloudy,High ,motorcycle ,170
cpya420089193,26.482581,80.315628,26.572581,80.405628,19:50:00,Fog,Jam ,motorcycle ,180
opvd660426426,12.284747,76.625861,12.344747,76.685861,17:55:00,Sunny,Medium ,motorcycle ,85
ecar963502319,26.911378,75.789034,26.921378,75.799034,9:10:00,Sunny,Low ,motorcycle ,80
pbmy587069805,13.02978,80.208812,13.10978,80.288812,20:05:00,Sunny,Jam ,van,135
wasv461278289,12.323194,76.630583,12.363194,76.670583,12:55:00,Fog,High ,motorcycle ,130
byhp076235734,18.563934,73.915367,18.653934,74.005367,21:55:00,Fog,Jam ,motorcycle ,230
ohfh963147472,22.569367,88.433187,22.629367,88.493187,20:05:00,Sunny,Jam ,motorcycle ,145
nkmh560985800,12.949934,77.699386,13.009934,77.759386,19:40:00,Sandstorms,Jam ,motorcycle ,115
gvea147758996,21.175975,72.795503,21.255975,72.875503,22:50:00,Sandstorms,Low ,scooter ,55
cypx969023715,22.725835,75.887648,22.835835,75.997648,17:25:00,Stormy,Medium ,motorcycle ,140
oamt174420009,18.536562,73.896485,18.596562,73.956485,19:40:00,Cloudy,Jam ,motorcycle ,125
vmgc964372188,23.416792,85.316842,23.436792,85.336842,10:45:00,Sandstorms,Low ,motorcycle ,55
jnge623681084,30.89286,75.822199,30.92286,75.852199,18:20:00,Windy,Medium ,scooter ,130
kzvx918950241,12.310972,76.659264,12.330972,76.679264,10:25:00,Stormy,Low ,motorcycle ,115
rlgt572766152,26.913987,75.752891,26.993987,75.832891,18:05:00,Fog,Medium ,motorcycle ,195
lvnz878892159,11.001753,76.986241,11.021753,77.006241,9:00:00,Fog,Low ,motorcycle ,55
zhyo265634674,22.310237,73.158921,22.390237,73.238921,20:10:00,Stormy,Jam ,van,160
ezxe128319748,12.933284,77.615428,13.003284,77.685428,18:10:00,Fog,Medium ,motorcycle ,215
kifq556800414,12.297954,76.665169,12.337954,76.705169,15:40:00,Fog,Medium ,scooter ,65
carl757119263,12.352058,76.60665,12.362058,76.61665,9:50:00,Windy,Low ,van,125
ywqd911535741,13.086438,80.220672,13.146439,80.280672,18:25:00,Windy,Medium ,motorcycle ,135
ppqt362000534,17.429585,78.392621,17.469585,78.432621,15:50:00,Windy,Medium ,scooter ,145
czis944259836,12.978453,77.643685,13.048453,77.713685,18:30:00,Sandstorms,Medium ,motorcycle ,165
ibwr067523869,13.044694,80.26147,13.084694,80.30147,17:00:00,Fog,Medium ,motorcycle ,19
fyao616279169,12.98041,77.640489,13.11041,77.770489,18:15:00,Sunny,Medium ,motorcycle ,165
bfvj522482572,0,0,0.06,0.06,19:20:00,Fog,Jam ,motorcycle ,140
zeaw181992534,26.846156,75.8023,26.926156,75.8823,18:35:00,Windy,Medium ,van,75
tkua467465647,25.449659,81.839744,25.479659,81.869744,20:45:00,Stormy,Jam ,scooter ,145
ljgp550489562,26.911927,75.797282,27.051927,75.937282,23:00:00,Stormy,Low ,scooter ,90
hnoc705310037,10.020683,76.310631,10.030683,76.320631,11:00:00,Stormy,Low ,motorcycle ,70
lzkv724137602,12.935662,77.61413,12.975662,77.65413,16:15:00,Windy,Medium ,motorcycle ,150
qpqb113436782,15.585658,73.743606,15.625658,73.783606,15:05:00,Sunny,High ,motorcycle ,140
teij116088130,0,0,0.13,0.13,20:25:00,Fog,Jam ,motorcycle ,195
zutg690542042,17.429585,78.392621,17.519585,78.482621,19:15:00,Cloudy,Medium ,motorcycle ,150
qphf884454355,26.766536,75.837333,26.896536,75.967333,18:20:00,Sandstorms,Medium ,motorcycle ,180
fcib257172141,26.846156,75.8023,26.986156,75.9423,23:50:00,Fog,Low ,motorcycle ,185
fium151549195,26.913987,75.752891,27.053987,75.892891,19:40:00,Cloudy,Jam ,motorcycle ,215
vvnq162473052,22.310526,73.170937,22.420526,73.280937,23:45:00,Sunny,Low ,scooter ,145
hhem665543827,0,0,0.03,0.03,18:15:00,Stormy,Medium ,scooter ,125
zfgf746938367,12.972532,77.608179,13.022532,77.658179,18:25:00,Fog,Medium ,van,75
nfdj333236314,19.103249,72.846749,19.193249,72.936749,21:15:00,Windy,Jam ,motorcycle ,195
zfxe533340329,17.426228,78.407495,17.506228,78.487495,23:50:00,Windy,Low ,motorcycle ,100
kwmv603335255,26.471617,80.313564,26.491617,80.333564,11:10:00,Fog,Low ,motorcycle ,75
gopn683041817,19.866969,75.318894,19.976969,75.428894,23:00:00,Sandstorms,Low ,motorcycle ,80
ppri902151840,18.593481,73.785901,18.603481,73.795901,11:15:00,Sunny,Low ,scooter ,95
libi732501950,12.906229,77.596791,12.986229,77.676791,23:40:00,Fog,Low ,scooter ,100
kdbu035077095,26.482581,80.315628,26.552581,80.385628,21:10:00,Sunny,Jam ,scooter ,125
mfol662804540,12.933298,77.614293,13.013298,77.694293,19:40:00,Cloudy,Jam ,motorcycle ,215
bdgu970232668,22.751857,75.866699,22.881857,75.996699,23:05:00,Windy,Low ,motorcycle ,75
odlo529484325,11.010375,76.95295,11.090375,77.03295,20:40:00,Sunny,Jam ,motorcycle ,145
vxvr447893698,17.483216,78.552111,17.523216,78.592111,12:50:00,Stormy,High ,motorcycle ,70
fmhd254099683,27.160934,78.044095,27.220934,78.104095,19:00:00,Sunny,Medium ,motorcycle ,55
evzr452255970,11.006686,76.951736,11.056686,77.001736,22:50:00,Sandstorms,Low ,motorcycle ,95
hdgi344002220,0,0,0.08,0.08,23:55:00,Windy,Low ,motorcycle ,145
ypdy132507323,25.457687,81.835585,25.497687,81.875585,15:30:00,Cloudy,Medium ,motorcycle ,55
vpun175942482,19.12663,72.829976,19.13663,72.839976,11:40:00,Sunny,High ,motorcycle ,70
cdkz589624699,19.875016,75.322405,19.965016,75.412405,22:45:00,Windy,Low ,motorcycle ,75
kiyg810534481,19.178321,72.834715,19.248321,72.904715,23:45:00,Sandstorms,Low ,motorcycle ,16
pwbi898606991,13.026279,80.174568,13.046279,80.194568,10:30:00,Stormy,Low ,motorcycle ,100
taqg748867597,17.455894,78.375467,17.485894,78.405467,22:30:00,Stormy,Low ,motorcycle ,130
dkgi875489081,21.149834,72.778666,21.209834,72.838666,17:20:00,Windy,Medium ,scooter ,130
ubag651976139,11.022477,76.995667,11.092477,77.065667,21:45:00,Windy,Jam ,motorcycle ,215
zxtz236128998,22.310237,73.158921,22.370237,73.218921,18:50:00,Sandstorms,Medium ,motorcycle ,125
hmju318251956,11.010375,76.95295,11.050375,76.99295,15:20:00,Fog,Medium ,motorcycle ,140
ltwr528697521,22.745049,75.892471,22.835049,75.982471,23:05:00,Stormy,Low ,scooter ,85
jsku204560077,22.74806,75.8934,22.83806,75.9834,19:40:00,Windy,Jam ,motorcycle ,220
istj070213071,19.178321,72.834715,19.268321,72.924715,20:35:00,Stormy,Jam ,motorcycle ,165
dahw022547497,12.979096,77.640625,13.009096,77.670625,18:50:00,Sunny,Medium ,motorcycle ,75
vvgj958702360,27.163303,78.057044,27.293303,78.187044,23:20:00,Fog,Low ,scooter ,135
rabu202619192,26.482419,80.320939,26.502419,80.340939,11:25:00,Cloudy,High ,scooter ,25
aeuj226729421,22.310237,73.158921,22.350237,73.198921,13:55:00,Sunny,High ,motorcycle ,90
rbiv368919286,22.307898,73.167788,22.367898,73.227788,18:45:00,Stormy,Medium ,scooter ,105
kxfb230420855,27.160832,78.011608,27.230832,78.081608,21:30:00,Cloudy,Jam ,motorcycle ,53
hwmm104541576,10.027014,76.308053,10.137014,76.418053,21:55:00,Sandstorms,Jam ,motorcycle ,210
qnwk753395424,30.890184,75.829615,31.000184,75.939615,21:35:00,Sunny,Jam ,motorcycle ,100
vvqg343205052,11.003681,76.975525,11.133681,77.105525,22:55:00,Fog,Low ,scooter ,145
iuxj806937978,12.986047,80.218114,13.096047,80.328114,20:20:00,Stormy,Jam ,scooter ,75
yyny933118563,11.006686,76.951736,11.056686,77.001736,18:35:00,Fog,Medium ,motorcycle ,150
bwhs416644198,21.15276,72.778059,21.28276,72.908059,20:45:00,Windy,Jam ,motorcycle ,28
rfxd157515921,22.753839,75.897429,22.773839,75.917429,10:05:00,Stormy,Low ,motorcycle ,19
pgjt711137922,19.876106,75.340775,20.006106,75.470775,22:40:00,Sandstorms,Low ,motorcycle ,75
fxir538138707,13.005801,80.250744,13.115801,80.360744,22:05:00,Sandstorms,Jam ,motorcycle ,250
kezq280741564,12.933298,77.614293,12.943298,77.624293,11:55:00,Stormy,High ,motorcycle ,205
dqha770938362,0,0,0.07,0.07,17:35:00,Fog,Medium ,motorcycle ,185
biau131098726,0,0,0.06,0.06,22:10:00,Cloudy,Jam ,scooter ,140
zkun393659280,30.328174,78.049117,30.398174,78.119117,18:55:00,Cloudy,Medium ,scooter ,175
lxwa140818117,12.978453,77.643685,13.048453,77.713685,20:35:00,Windy,Jam ,motorcycle ,135
uyid942578627,13.058616,80.264151,13.138616,80.344151,21:50:00,Fog,Jam ,motorcycle ,215
scqu849553683,26.911927,75.797282,26.971927,75.857282,22:30:00,Fog,Low ,scooter ,60
